year,lcm_county_id,hh_size,total_number_of_households
2025,06085,two,190772
2025,06095,two,48322
2025,06097,two,64098
2026,06001,two,172573
2026,06013,two,125588
2026,06041,two,36030
2026,06055,two,16264
2026,06075,two,124120
2026,06081,two,80781
2026,06085,two,188040
2026,06095,two,48734
2026,06097,two,64563
2027,06001,two,176194
2027,06013,two,126838
2027,06041,two,34908
2027,06055,two,16195
2027,06075,two,120182
2027,06081,two,85661
2027,06085,two,194474
2027,06095,two,47655
2027,06097,two,66727
2028,06001,two,177540
2028,06013,two,125966
2028,06041,two,40144
2028,06055,two,16905
2028,06075,two,123044
2028,06081,two,87613
2028,06085,two,197759
2028,06095,two,47694
2028,06097,two,67335
2029,06001,two,179441
2029,06013,two,121888
2029,06041,two,37075
2029,06055,two,16588
2029,06075,two,119768
2029,06081,two,88002
2029,06085,two,203245
2029,06095,two,49842
2029,06097,two,68508
2030,06001,two,173638
2030,06013,two,125801
2030,06041,two,37579
2030,06055,two,16890
2030,06075,two,119667
2030,06081,two,85245
2030,06085,two,194296
2030,06095,two,48435
2030,06097,two,65572
2021,06001,three,96392
2021,06013,three,69063
2021,06041,three,14559
2021,06055,three,5357
2021,06075,three,43649
2021,06081,three,37708
2021,06085,three,116744
2021,06095,three,26120
2021,06097,three,25771
2022,06001,three,97683
2022,06013,three,63171
2022,06041,three,13757
2022,06055,three,5896
2022,06075,three,45083
2022,06081,three,41664
2022,06085,three,112945
2022,06095,three,24593
2022,06097,three,29319
2023,06001,three,98851
2023,06013,three,65873
2023,06041,three,14497
2023,06055,three,8238
2023,06075,three,47478
2023,06081,three,45438
2023,06085,three,113250
2023,06095,three,25257
2023,06097,three,29155
2024,06001,three,103716
2024,06013,three,70095
2024,06041,three,16314
2024,06055,three,7803
2024,06075,three,49018
2024,06081,three,42719
2024,06085,three,114359
2024,06095,three,26731
2024,06097,three,26988
2025,06001,three,103213
2025,06013,three,67486
2025,06041,three,15695
2025,06055,three,8008
2025,06075,three,47312
2025,06081,three,47902
2025,06085,three,116933
2025,06095,three,23651
2025,06097,three,32049
2026,06001,three,101614
2026,06013,three,68228
2026,06041,three,17202
2026,06055,three,7639
2026,06075,three,51436
2026,06081,three,51655
2026,06085,three,118549
2026,06095,three,27416
2026,06097,three,30083
2027,06001,three,99653
2027,06013,three,66945
2027,06041,three,16067
2027,06055,three,7008
2027,06075,three,49000
2027,06081,three,47736
2027,06085,three,117223
2027,06095,three,28231
2027,06097,three,27244
2028,06001,three,101701
2028,06013,three,73417
2028,06041,three,14813
2028,06055,three,6431
2028,06075,three,53708
2028,06081,three,45651
2028,06085,three,126043
2028,06095,three,25985
2028,06097,three,27654
2029,06001,three,99140
2029,06013,three,71956
2029,06041,three,14418
2029,06055,three,7280
2029,06075,three,51540
2029,06081,three,45049
2029,06085,three,118924
2029,06095,three,25962
2029,06097,three,26276
2030,06001,three,100968
2030,06013,three,71449
2030,06041,three,15264
2030,06055,three,7196
2030,06075,three,52027
2030,06081,three,48908
2030,06085,three,120655
2030,06095,three,27201
2030,06097,three,29544
2021,06001,four or more,141385
2021,06013,four or more,104365
2021,06041,four or more,17973
2021,06055,four or more,13669
2021,06075,four or more,54038
2021,06081,four or more,73087
2021,06085,four or more,182048
2021,06095,four or more,38241
2021,06097,four or more,38605
2022,06001,four or more,139900
2022,06013,four or more,106182
2022,06041,four or more,21515
2022,06055,four or more,13168
2022,06075,four or more,52672
2022,06081,four or more,66501
2022,06085,four or more,186837
2022,06095,four or more,39417
2022,06097,four or more,40487
2023,06001,four or more,145063
2023,06013,four or more,109667
2023,06041,four or more,22348
2023,06055,four or more,11938
2023,06075,four or more,52112
2023,06081,four or more,70795
2023,06085,four or more,190331
2023,06095,four or more,38197
2023,06097,four or more,41409
2024,06001,four or more,148084
2024,06013,four or more,109574
2024,06041,four or more,18622
2024,06055,four or more,13214
2024,06075,four or more,54546
2024,06081,four or more,70311
2024,06085,four or more,189168
2024,06095,four or more,39686
2024,06097,four or more,43415
2025,06001,four or more,155113
2025,06013,four or more,116066
2025,06041,four or more,20744
2025,06055,four or more,12754
2025,06075,four or more,56315
2025,06081,four or more,75044
2025,06085,four or more,195513
2025,06095,four or more,40355
2025,06097,four or more,41305
2026,06001,four or more,159268
2026,06013,four or more,114049
2026,06041,four or more,20088
2026,06055,four or more,11497
2026,06075,four or more,58262
2026,06081,four or more,71963
2026,06085,four or more,201126
2026,06095,four or more,43793
2026,06097,four or more,40465
2027,06001,four or more,158095
2027,06013,four or more,116575
2027,06041,four or more,22962
2027,06055,four or more,12297
2027,06075,four or more,60092
2027,06081,four or more,68771
2027,06085,four or more,193959
2027,06095,four or more,40143
2027,06097,four or more,39899
2028,06001,four or more,155376
2028,06013,four or more,109157
2028,06041,four or more,20569
2028,06055,four or more,12974
2028,06075,four or more,60609
2028,06081,four or more,69796
2028,06085,four or more,191267
2028,06095,four or more,44845
2028,06097,four or more,42888
2029,06001,four or more,154901
2029,06013,four or more,114369
2029,06041,four or more,20961
2029,06055,four or more,10611
2029,06075,four or more,60783
2029,06081,four or more,71110
2029,06085,four or more,184426
2029,06095,four or more,39942
2029,06097,four or more,44535
2030,06001,four or more,157771
2030,06013,four or more,114061
2030,06041,four or more,21288
2030,06055,four or more,12161
2030,06075,four or more,59128
2030,06081,four or more,70640
2030,06085,four or more,190976
2030,06095,four or more,42659
2030,06097,four or more,42744
2031,06001,one,144803
2031,06013,one,85236
2031,06041,one,29456
2031,06055,one,11697
2031,06075,one,130549
2031,06081,one,63919
2031,06085,one,133580
2031,06095,one,32123
2031,06097,one,53369
2032,06001,one,145364
2032,06013,one,93045
2032,06041,one,32079
2032,06055,one,12668
2032,06075,one,136815
2032,06081,one,68901
2032,06085,one,133027
2032,06095,one,32956
2032,06097,one,50422
2033,06001,one,147123
2033,06013,one,87191
2033,06041,one,31895
2033,06055,one,12022
2033,06075,one,134187
2033,06081,one,61638
2033,06085,one,133896
2033,06095,one,33333
2033,06097,one,54235
2034,06001,one,137552
2034,06013,one,89899
2034,06041,one,35035
2034,06055,one,12038
2034,06075,one,134065
2034,06081,one,62818
2034,06085,one,134405
2034,06095,one,30882
2034,06097,one,54859
2035,06001,one,138663
2035,06013,one,86408
2035,06041,one,32333
2035,06055,one,13149
2035,06075,one,133937
2035,06081,one,57938
2035,06085,one,130568
2035,06095,one,33174
2035,06097,one,53210
2036,06001,one,138557
2036,06013,one,83423
2036,06041,one,33013
2036,06055,one,14161
2036,06075,one,124885
2036,06081,one,59046
2036,06085,one,127972
2036,06095,one,29229
2036,06097,one,52393
2037,06001,one,139647
2037,06013,one,81688
2037,06041,one,30282
2037,06055,one,12348
2037,06075,one,131049
2037,06081,one,62017
2037,06085,one,128155
2037,06095,one,35098
2037,06097,one,54959
2038,06001,one,140793
2038,06013,one,87593
2038,06041,one,29428
2038,06055,one,11005
2038,06075,one,125466
2038,06081,one,56594
2038,06085,one,130039
2038,06095,one,33767
2038,06097,one,49557
2039,06001,one,152150
2039,06013,one,91579
2039,06041,one,32844
2039,06055,one,13628
2039,06075,one,133760
2039,06081,one,60842
2039,06085,one,137042
2039,06095,one,34647
2039,06097,one,51370
2040,06001,one,140797
2040,06013,one,86988
2040,06041,one,30769
2040,06055,one,12237
2040,06075,one,131319
2040,06081,one,58558
2040,06085,one,129387
2040,06095,one,32896
2040,06097,one,51098
2031,06001,two,162979
2031,06013,two,117662
2031,06041,two,39735
2031,06055,two,19210
2031,06075,two,114470
2031,06081,two,81812
2031,06085,two,174087
2031,06095,two,43508
2031,06097,two,62958
2032,06001,two,165327
2032,06013,two,117999
2032,06041,two,35076
2032,06055,two,16492
2032,06075,two,112272
2032,06081,two,81822
2032,06085,two,181001
2032,06095,two,44173
2032,06097,two,64120
2033,06001,two,164872
2033,06013,two,119625
2033,06041,two,34107
2033,06055,two,15284
2033,06075,two,120874
2033,06081,two,80920
2033,06085,two,181860
2033,06095,two,45790
2033,06097,two,64288
2034,06001,two,174249
2034,06013,two,118368
2034,06041,two,33538
2034,06055,two,17461
2034,06075,two,115777
2034,06081,two,81625
2034,06085,two,184136
2034,06095,two,48014
2034,06097,two,65613
2035,06001,two,174839
2035,06013,two,122036
2035,06041,two,37115
2035,06055,two,15708
2035,06075,two,119352
2035,06081,two,82396
2035,06085,two,190772
2035,06095,two,48322
2035,06097,two,64098
2036,06001,two,172573
2036,06013,two,125588
2036,06041,two,36030
2036,06055,two,16264
2036,06075,two,124120
2036,06081,two,80781
2036,06085,two,188040
2036,06095,two,48734
2036,06097,two,64563
2037,06001,two,176194
2037,06013,two,126838
2037,06041,two,34908
2037,06055,two,16195
2037,06075,two,120182
2037,06081,two,85661
2037,06085,two,194474
2037,06095,two,47655
2037,06097,two,66727
2038,06001,two,177540
2038,06013,two,125966
2038,06041,two,40144
2038,06055,two,16905
2038,06075,two,123044
2038,06081,two,87613
2038,06085,two,197759
2038,06095,two,47694
2038,06097,two,67335
2039,06001,two,179441
2039,06013,two,121888
2039,06041,two,37075
2039,06055,two,16588
2039,06075,two,119768
2039,06081,two,88002
2039,06085,two,203245
2039,06095,two,49842
2039,06097,two,68508
2040,06001,two,173638
2040,06013,two,125801
2040,06041,two,37579
2040,06055,two,16890
2040,06075,two,119667
2040,06081,two,85245
2040,06085,two,194296
2040,06095,two,48435
2040,06097,two,65572
2031,06001,three,96392
2031,06013,three,69063
2031,06041,three,14559
2031,06055,three,5357
2031,06075,three,43649
2031,06081,three,37708
2031,06085,three,116744
2031,06095,three,26120
2031,06097,three,25771
2032,06001,three,97683
2032,06013,three,63171
2032,06041,three,13757
2032,06055,three,5896
2032,06075,three,45083
2032,06081,three,41664
2032,06085,three,112945
2032,06095,three,24593
2032,06097,three,29319
2033,06001,three,98851
2033,06013,three,65873
2033,06041,three,14497
2033,06055,three,8238
2033,06075,three,47478
2033,06081,three,45438
2033,06085,three,113250
2033,06095,three,25257
2033,06097,three,29155
2034,06001,three,103716
2034,06013,three,70095
2034,06041,three,16314
2034,06055,three,7803
2034,06075,three,49018
2034,06081,three,42719
2034,06085,three,114359
2034,06095,three,26731
2034,06097,three,26988
2035,06001,three,103213
2035,06013,three,67486
2035,06041,three,15695
2035,06055,three,8008
2035,06075,three,47312
2035,06081,three,47902
2035,06085,three,116933
2035,06095,three,23651
2035,06097,three,32049
2036,06001,three,101614
2036,06013,three,68228
2036,06041,three,17202
2036,06055,three,7639
2036,06075,three,51436
2036,06081,three,51655
2036,06085,three,118549
2036,06095,three,27416
2036,06097,three,30083
2037,06001,three,99653
2037,06013,three,66945
2037,06041,three,16067
2037,06055,three,7008
2037,06075,three,49000
2037,06081,three,47736
2037,06085,three,117223
2037,06095,three,28231
2037,06097,three,27244
2038,06001,three,101701
2038,06013,three,73417
2038,06041,three,14813
2038,06055,three,6431
2038,06075,three,53708
2038,06081,three,45651
2038,06085,three,126043
2038,06095,three,25985
2038,06097,three,27654
2039,06001,three,99140
2039,06013,three,71956
2039,06041,three,14418
2039,06055,three,7280
2039,06075,three,51540
2039,06081,three,45049
2039,06085,three,118924
2039,06095,three,25962
2039,06097,three,26276
2040,06001,three,100968
2040,06013,three,71449
2040,06041,three,15264
2040,06055,three,7196
2040,06075,three,52027
2040,06081,three,48908
2040,06085,three,120655
2040,06095,three,27201
2040,06097,three,29544
2031,06001,four or more,141385
2031,06013,four or more,104365
2031,06041,four or more,17973
2031,06055,four or more,13669
2031,06075,four or more,54038
2031,06081,four or more,73087
2031,06085,four or more,182048
2031,06095,four or more,38241
2031,06097,four or more,38605
2032,06001,four or more,139900
2032,06013,four or more,106182
2032,06041,four or more,21515
2032,06055,four or more,13168
2032,06075,four or more,52672
2032,06081,four or more,66501
2032,06085,four or more,186837
2032,06095,four or more,39417
2032,06097,four or more,40487
2033,06001,four or more,145063
2033,06013,four or more,109667
2033,06041,four or more,22348
2033,06055,four or more,11938
2033,06075,four or more,52112
2033,06081,four or more,70795
2033,06085,four or more,190331
2033,06095,four or more,38197
2033,06097,four or more,41409
2034,06001,four or more,148084
2034,06013,four or more,109574
2034,06041,four or more,18622
2034,06055,four or more,13214
2034,06075,four or more,54546
2034,06081,four or more,70311
2034,06085,four or more,189168
2034,06095,four or more,39686
2034,06097,four or more,43415
2035,06001,four or more,155113
2035,06013,four or more,116066
2035,06041,four or more,20744
2035,06055,four or more,12754
2035,06075,four or more,56315
2035,06081,four or more,75044
2035,06085,four or more,195513
2035,06095,four or more,40355
2035,06097,four or more,41305
2036,06001,four or more,159268
2036,06013,four or more,114049
2036,06041,four or more,20088
2036,06055,four or more,11497
2036,06075,four or more,58262
2036,06081,four or more,71963
2036,06085,four or more,201126
2036,06095,four or more,43793
2036,06097,four or more,40465
2037,06001,four or more,158095
2037,06013,four or more,116575
2037,06041,four or more,22962
2037,06055,four or more,12297
2037,06075,four or more,60092
2037,06081,four or more,68771
2037,06085,four or more,193959
2037,06095,four or more,40143
2037,06097,four or more,39899
2038,06001,four or more,155376
2038,06013,four or more,109157
2038,06041,four or more,20569
2038,06055,four or more,12974
2038,06075,four or more,60609
2038,06081,four or more,69796
2038,06085,four or more,191267
2038,06095,four or more,44845
2038,06097,four or more,42888
2039,06001,four or more,154901
2039,06013,four or more,114369
2039,06041,four or more,20961
2039,06055,four or more,10611
2039,06075,four or more,60783
2039,06081,four or more,71110
2039,06085,four or more,184426
2039,06095,four or more,39942
2039,06097,four or more,44535
2040,06001,four or more,157771
2040,06013,four or more,114061
2040,06041,four or more,21288
2040,06055,four or more,12161
2040,06075,four or more,59128
2040,06081,four or more,70640
2040,06085,four or more,190976
2040,06095,four or more,42659
2040,06097,four or more,42744
2041,06001,one,144803
2041,06013,one,85236
2041,06041,one,29456
2041,06055,one,11697
2041,06075,one,130549
2041,06081,one,63919
2041,06085,one,133580
2041,06095,one,32123
2041,06097,one,53369
2042,06001,one,145364
2042,06013,one,93045
2042,06041,one,32079
2042,06055,one,12668
2042,06075,one,136815
2042,06081,one,68901
2042,06085,one,133027
2042,06095,one,32956
2042,06097,one,50422
2043,06001,one,147123
2043,06013,one,87191
2043,06041,one,31895
2043,06055,one,12022
2043,06075,one,134187
2043,06081,one,61638
2043,06085,one,133896
2043,06095,one,33333
2043,06097,one,54235
2044,06001,one,137552
2044,06013,one,89899
2044,06041,one,35035
2044,06055,one,12038
2044,06075,one,134065
2044,06081,one,62818
2044,06085,one,134405
2044,06095,one,30882
2044,06097,one,54859
2045,06001,one,138663
2045,06013,one,86408
2045,06041,one,32333
2045,06055,one,13149
2045,06075,one,133937
2045,06081,one,57938
2045,06085,one,130568
2045,06095,one,33174
2045,06097,one,53210
2046,06001,one,138557
2046,06013,one,83423
2046,06041,one,33013
2046,06055,one,14161
2046,06075,one,124885
2046,06081,one,59046
2046,06085,one,127972
2046,06095,one,29229
2046,06097,one,52393
2047,06001,one,139647
2047,06013,one,81688
2047,06041,one,30282
2047,06055,one,12348
2047,06075,one,131049
2047,06081,one,62017
2047,06085,one,128155
2047,06095,one,35098
2047,06097,one,54959
2048,06001,one,140793
2048,06013,one,87593
2048,06041,one,29428
2048,06055,one,11005
2048,06075,one,125466
2048,06081,one,56594
2048,06085,one,130039
2048,06095,one,33767
2048,06097,one,49557
2049,06001,one,152150
2049,06013,one,91579
2049,06041,one,32844
2049,06055,one,13628
2049,06075,one,133760
2049,06081,one,60842
2049,06085,one,137042
2049,06095,one,34647
2049,06097,one,51370
2050,06001,one,140797
2050,06013,one,86988
2050,06041,one,30769
2050,06055,one,12237
2050,06075,one,131319
2050,06081,one,58558
2050,06085,one,129387
2050,06095,one,32896
2050,06097,one,51098
2041,06001,two,162979
2041,06013,two,117662
2041,06041,two,39735
2041,06055,two,19210
2041,06075,two,114470
2041,06081,two,81812
2041,06085,two,174087
2041,06095,two,43508
2041,06097,two,62958
2042,06001,two,165327
2042,06013,two,117999
2042,06041,two,35076
2042,06055,two,16492
2042,06075,two,112272
2042,06081,two,81822
2042,06085,two,181001
2042,06095,two,44173
2042,06097,two,64120
2043,06001,two,164872
2043,06013,two,119625
2043,06041,two,34107
2043,06055,two,15284
2043,06075,two,120874
2043,06081,two,80920
2043,06085,two,181860
2043,06095,two,45790
2043,06097,two,64288
2044,06001,two,174249
2044,06013,two,118368
2044,06041,two,33538
2044,06055,two,17461
2044,06075,two,115777
2044,06081,two,81625
2044,06085,two,184136
2044,06095,two,48014
2044,06097,two,65613
2045,06001,two,174839
2045,06013,two,122036
2045,06041,two,37115
2045,06055,two,15708
2045,06075,two,119352
2045,06081,two,82396
2045,06085,two,190772
2045,06095,two,48322
2045,06097,two,64098
2046,06001,two,172573
2046,06013,two,125588
2046,06041,two,36030
2046,06055,two,16264
