tract_id,children,density_hh,density_jobs,density_units,hh_obs_growth_13_18,hh_own,hh_prop_obs_growth_13_18,hh_prop_obs_growth_13_18_nc,hh_prop_obs_growth_18_19,hh_prop_sim_growth_13_18,hh_prop_sim_growth_18_19,hh_prop_sim_growth_year,hh_rent,hh_sim_growth_13_18,hh_sim_growth_year,income_segment_1_hh,income_segment_6_hh,jobs_0,jobs_1,jobs_2,jobs_3,jobs_4,jobs_5,jobs_obs_growth_10_17,jobs_prop_obs_growth_10_17,jobs_prop_obs_growth_10_17_nc,jobs_prop_obs_growth_17_18,jobs_prop_sim_growth_10_17,jobs_prop_sim_growth_17_18,jobs_prop_sim_growth_year,jobs_sim_growth_10_17,jobs_sim_growth_year,ln_total_hh,ln_total_jobs,ln_total_units,mean_age_of_head,mean_hh_size,mean_income,persons_65plus,prop_hh_rent,prop_jobs_0,prop_jobs_1,prop_jobs_2,prop_jobs_3,prop_jobs_4,prop_jobs_5,prop_units_mf,sum_acres,total_hh,total_jobs,total_persons,total_units,units_mf,units_mf_own,units_mf_rent,units_obs_growth_13_18,units_prop_obs_growth_13_18,units_prop_obs_growth_13_18_nc,units_prop_obs_growth_18_19,units_prop_sim_growth_13_18,units_prop_sim_growth_18_19,units_prop_sim_growth_year,units_sf,units_sf_own,units_sf_rent,units_sim_growth_13_18,units_sim_growth_year,vacant_du_spaces,vacant_job_spaces,vacant_residential_units
06095253500,943.0,0.026532714771261318,0.018740527060219465,649.5153862994295,1205.0,2836.0,0.28530974457082786,0.79403541472507,0.45902564313548017,0.0,0.0,,947.0,0,0.0,416.0,79.0,140.0,1146.0,100.0,430.0,225.0,631.0,309.0,0.01970484815788366,0.02288926890540111,0.02657757862312196,0.0,0.0,,0,0.0,8.238536930171769,7.890956716138919,8.36264243156764,62.09384086703675,2.034628601638911,72116.8717948718,2864.0,0.25033042558815755,0.05239520958083832,0.42889221556886226,0.0374251497005988,0.16092814371257486,0.08420658682634731,0.23615269461077845,0.07915012841466262,142578.7007704739,3783.0,2672.0,7697.0,4283.0,339.0,233.0,106.0,1394.0,0.21897821685126917,0.7924788344162237,1.222504697689842,0.0,0.0,,3944.0,2954.0,990.0,0,0.0,520014.0,41923.0,500.0
06095253300,646.0,0.008418825920594975,0.01965612834504131,21.061858363785515,183.0,475.0,0.04332919772320456,-0.06150978564771668,0.0105793362054272,0.0,0.0,,445.0,0,0.0,59.0,19.0,183.0,987.0,585.0,73.0,23.0,297.0,2747.0,0.17517546242623436,0.25944324217981507,0.07760652957951614,0.0,0.0,,0,0.0,6.825460036255307,7.67275789664251,6.932447891572508,53.34130434782609,2.7956521739130435,78889.84782608696,324.0,0.483695652173913,0.08519553072625698,0.4594972067039106,0.2723463687150838,0.03398510242085661,0.010707635009310988,0.138268156424581,0.396484375,109278.89573644752,920.0,2148.0,2572.0,1024.0,406.0,222.0,184.0,214.0,0.03361645509768408,-0.092537901161646,0.0,0.0,0.0,,618.0,333.0,285.0,0,0.0,359209.0,58850.0,104.0
06001451101,1749.0,0.01708853237462898,0.1861773882624916,139.2049666369552,289.0,1875.0,0.06842698438254709,0.013979496738117428,0.15398811587899588,0.0,0.0,,446.0,0,0.0,65.0,460.0,1567.0,4850.0,2092.0,649.0,777.0,15352.0,5561.0,0.3546234971067671,0.47641837800208836,0.30298439630359036,0.0,0.0,,0,0.0,7.7501841622578365,10.138085253895452,7.811568489345179,50.23653597587247,2.8526497199482983,154706.99138302455,421.0,0.19215855234812582,0.06196860046664294,0.19179815715585083,0.08273025665361648,0.025665361648277773,0.030727251156720845,0.6071103729188911,0.13411669367909237,135822.07934052573,2321.0,25287.0,6621.0,2468.0,331.0,258.0,73.0,516.0,0.08105649920749992,0.08663122661941326,0.614568365203935,0.0,0.0,,2137.0,1683.0,454.0,0,0.0,613569.0,637614.0,147.0
06097154304,311.0,0.004982885924988323,0.0016761444427748655,91.5792171827013,253.0,731.0,0.05990320778126095,0.14631873252562907,0.07346761253768888,0.0,0.0,,363.0,0,0.0,85.0,96.0,0.0,106.0,8.0,100.0,29.0,125.0,127.0,0.008098756362625322,0.008985456801707047,0.008504825159399028,0.0,0.0,,0,0.0,6.998509642250601,5.910796644040527,7.557472901614746,55.96709323583181,2.1151736745886653,94190.16544789763,481.0,0.33180987202925044,0.0,0.28804347826086957,0.021739130434782608,0.2717391304347826,0.07880434782608696,0.33967391304347827,0.0794148380355277,219551.48411360907,1094.0,368.0,2314.0,1914.0,152.0,105.0,47.0,316.0,0.049639251452655,-0.01772002362669817,0.0,0.0,0.0,,1762.0,1239.0,523.0,0,0.0,468900.0,63293.0,820.0
06095252702,1963.0,0.04473922962453126,0.04143318248568308,364.5610016373914,463.0,1453.0,0.10962523795543012,0.2385834109972041,0.10050369395155839,0.0,0.0,,834.0,0,0.0,257.0,91.0,440.0,161.0,105.0,672.0,247.0,493.0,713.0,0.04546782115395162,0.034428487113909105,0.05873644875709953,0.0,0.0,,0,0.0,7.7354333524996886,7.658699558268299,7.807916628926408,48.053344993441186,3.003060778312199,83089.02011368606,639.0,0.36466987319632704,0.2077431539187913,0.07601510859301228,0.049575070821529746,0.31728045325779036,0.1166194523135033,0.232766761095373,0.18910126067507116,51118.44837726039,2287.0,2118.0,6868.0,2459.0,465.0,213.0,252.0,552.0,0.08671160380337202,0.14372908052766292,0.0,0.0,0.0,,1994.0,1414.0,580.0,0,0.0,238842.0,150895.0,172.0
06095252903,751.0,0.028017228781805632,0.018363485616046796,24.328211358989908,107.0,1269.0,0.025334558231600482,-0.08387698042870456,0.029974785915377063,0.0,0.0,,304.0,0,0.0,76.0,173.0,0.0,807.0,6.0,14.0,30.0,174.0,601.0,0.038325610818408025,0.05684483724027301,0.0007973273586936588,0.0,0.0,,0,0.0,7.3613754289773485,6.939253946041508,7.427738840532893,57.74952320406866,2.5956770502225046,129121.96439923713,691.0,0.19326128417037508,0.0,0.7827352085354026,0.005819592628516004,0.013579049466537343,0.029097963142580018,0.1687681862269641,0.1058893515764426,56144.02524426345,1573.0,1031.0,4083.0,1681.0,178.0,116.0,62.0,328.0,0.05152428631794569,-0.03150226422524119,0.0,0.0,0.0,,1503.0,1245.0,258.0,0,0.0,256854.0,151513.0,108.0
06085513500,245.0,0.0010094810178451197,0.0008240120644352551,10.930890295373443,115.0,251.0,0.027228730809664068,0.07642124883504194,0.017632227009045334,0.0,0.0,,130.0,0,0.0,30.0,27.0,0.0,12.0,7.0,175.0,12.0,105.0,72.0,0.004591420929992309,0.0017970913603414095,0.0005315515724624392,0.0,0.0,,0,0.0,5.945420608606575,5.7430031878094825,6.208590026096629,57.026246719160106,2.7086614173228347,88017.07874015748,219.0,0.34120734908136485,0.0,0.03858520900321544,0.022508038585209004,0.5627009646302251,0.03858520900321544,0.33762057877813506,0.15725806451612903,377421.6585204331,381.0,311.0,1032.0,496.0,78.0,49.0,29.0,170.0,0.026704660591618194,0.092537901161646,0.0,0.0,0.0,,418.0,274.0,144.0,0,0.0,28123.0,24400.0,115.0
06097154100,655.0,0.009786395603402269,0.03163476809887238,36.034494192393545,187.0,988.0,0.04427628401223635,0.017707362534948742,0.01645674520844231,0.0,0.0,,414.0,0,0.0,77.0,118.0,51.0,2554.0,86.0,227.0,51.0,1563.0,1620.0,0.10330697092482696,0.08815206041253651,0.07920118429690344,0.0,0.0,,0,0.0,7.246368080102461,8.41913925094085,7.45529848568329,57.20898716119829,2.4679029957203995,104149.26105563481,652.0,0.29529243937232524,0.011253309796999117,0.5635481023830539,0.018976169461606355,0.0500882612533098,0.011253309796999117,0.34488084730803176,0.11516203703703703,143260.0986938021,1402.0,4532.0,3460.0,1728.0,199.0,123.0,76.0,307.0,0.048225475303686975,-0.005906674542232723,0.0,0.0,0.0,,1529.0,994.0,535.0,0,0.0,371727.0,72375.0,326.0
06081613800,627.0,0.013846981602603775,0.016540171895542972,51.63942299785678,186.0,1022.0,0.044039512439978404,-0.0754892823858341,0.04584379022351786,0.0,0.0,,577.0,0,0.0,100.0,238.0,0.0,1194.0,13.0,297.0,46.0,360.0,743.0,0.047380913208115084,0.06034443620514838,0.001328878931156098,0.0,0.0,,0,0.0,7.3777589082278725,7.555381944240273,7.594381242551816,56.903064415259536,2.267667292057536,130940.77298311445,627.0,0.3608505315822389,0.0,0.625130890052356,0.006806282722513089,0.15549738219895287,0.024083769633507852,0.18848167539267016,0.11530715005035247,115476.42987402578,1599.0,1910.0,3626.0,1986.0,229.0,116.0,113.0,213.0,0.033459368858909856,-0.2539870053160071,0.0,0.0,0.0,,1757.0,1073.0,684.0,0,0.0,448493.0,102089.0,387.0
06013355112,988.0,0.031208793820693418,0.019522955060384047,39.38926574310671,479.0,1848.0,0.11341358311155729,0.06244175209692451,0.04290508572201031,0.0,0.0,,163.0,0,0.0,68.0,627.0,0.0,172.0,2.0,144.0,234.0,706.0,384.0,0.024487578293292317,0.01920050242891085,0.0,0.0,0.0,,0,0.0,7.606884531219629,7.138073034044347,7.658699558268299,58.39830929885629,2.3963202386872204,191724.84684236697,854.0,0.08105420188960716,0.0,0.13672496025437203,0.001589825119236884,0.11446740858505565,0.18600953895071543,0.56120826709062,0.01794145420207743,64436.96643817676,2011.0,1258.0,4819.0,2118.0,38.0,34.0,4.0,276.0,0.04335580190168601,0.019688915140775743,0.0,0.0,0.0,,2080.0,1885.0,195.0,0,0.0,253212.0,40940.0,107.0
