tract_id,children,density_hh,density_jobs,density_units,hh_obs_growth_13_18,hh_prop_obs_growth_13_18,hh_prop_obs_growth_18_19,hh_prop_sim_growth_13_18,hh_prop_sim_growth_18_19,hh_prop_sim_growth_year,hh_sim_growth_13_18,hh_sim_growth_year,jobs_obs_growth_10_17,jobs_prop_obs_growth_10_17,jobs_prop_obs_growth_17_18,jobs_prop_sim_growth_10_17,jobs_prop_sim_growth_17_18,jobs_prop_sim_growth_year,jobs_sim_growth_10_17,jobs_sim_growth_year,prop_hh_rent,prop_units_mf,sum_acres,total_hh,total_jobs,total_persons,total_units,units_obs_growth_13_18,units_prop_obs_growth_13_18,units_prop_obs_growth_18_19,units_prop_sim_growth_13_18,units_prop_sim_growth_18_19,units_prop_sim_growth_year,units_sim_growth_13_18,units_sim_growth_year
06095253500,943.0,0.026532714771261318,0.018740527060219465,649.5153862994295,1205.0,0.28530974457082786,0.45902564313548017,0.0,0.0,,0,0.0,309.0,0.01970484815788366,0.02657757862312196,0.0,0.0,,0,0.0,0.25033042558815755,0.07915012841466262,142578.7007704739,3783.0,2672.0,7697.0,4283.0,1394.0,0.21897821685126917,1.222504697689842,0.0,0.0,,0,0.0
06095253300,646.0,0.008418825920594975,0.01965612834504131,21.061858363785515,183.0,0.04332919772320456,0.0105793362054272,0.0,0.0,,0,0.0,2747.0,0.17517546242623436,0.07760652957951614,0.0,0.0,,0,0.0,0.483695652173913,0.396484375,109278.89573644752,920.0,2148.0,2572.0,1024.0,214.0,0.03361645509768408,0.0,0.0,0.0,,0,0.0
06001451101,1749.0,0.01708853237462898,0.1861773882624916,139.2049666369552,289.0,0.06842698438254709,0.15398811587899588,0.0,0.0,,0,0.0,5561.0,0.3546234971067671,0.30298439630359036,0.0,0.0,,0,0.0,0.19215855234812582,0.13411669367909237,135822.07934052573,2321.0,25287.0,6621.0,2468.0,516.0,0.08105649920749992,0.614568365203935,0.0,0.0,,0,0.0
06097154304,311.0,0.004982885924988323,0.0016761444427748655,91.5792171827013,253.0,0.05990320778126095,0.07346761253768888,0.0,0.0,,0,0.0,127.0,0.008098756362625322,0.008504825159399028,0.0,0.0,,0,0.0,0.33180987202925044,0.0794148380355277,219551.48411360907,1094.0,368.0,2314.0,1914.0,316.0,0.049639251452655,0.0,0.0,0.0,,0,0.0
06095252702,1963.0,0.04473922962453126,0.04143318248568308,364.5610016373914,463.0,0.10962523795543012,0.10050369395155839,0.0,0.0,,0,0.0,713.0,0.04546782115395162,0.05873644875709953,0.0,0.0,,0,0.0,0.36466987319632704,0.18910126067507116,51118.44837726039,2287.0,2118.0,6868.0,2459.0,552.0,0.08671160380337202,0.0,0.0,0.0,,0,0.0
06095252903,751.0,0.028017228781805632,0.018363485616046796,24.328211358989908,107.0,0.025334558231600482,0.029974785915377063,0.0,0.0,,0,0.0,601.0,0.038325610818408025,0.0007973273586936588,0.0,0.0,,0,0.0,0.19326128417037508,0.1058893515764426,56144.02524426345,1573.0,1031.0,4083.0,1681.0,328.0,0.05152428631794569,0.0,0.0,0.0,,0,0.0
06085513500,245.0,0.0010094810178451197,0.0008240120644352551,10.930890295373443,115.0,0.027228730809664068,0.017632227009045334,0.0,0.0,,0,0.0,72.0,0.004591420929992309,0.0005315515724624392,0.0,0.0,,0,0.0,0.34120734908136485,0.15725806451612903,377421.6585204331,381.0,311.0,1032.0,496.0,170.0,0.026704660591618194,0.0,0.0,0.0,,0,0.0
06097154100,655.0,0.009786395603402269,0.03163476809887238,36.034494192393545,187.0,0.04427628401223635,0.01645674520844231,0.0,0.0,,0,0.0,1620.0,0.10330697092482696,0.07920118429690344,0.0,0.0,,0,0.0,0.29529243937232524,0.11516203703703703,143260.0986938021,1402.0,4532.0,3460.0,1728.0,307.0,0.048225475303686975,0.0,0.0,0.0,,0,0.0
06081613800,627.0,0.013846981602603775,0.016540171895542972,51.63942299785678,186.0,0.044039512439978404,0.04584379022351786,0.0,0.0,,0,0.0,743.0,0.047380913208115084,0.001328878931156098,0.0,0.0,,0,0.0,0.3608505315822389,0.11530715005035247,115476.42987402578,1599.0,1910.0,3626.0,1986.0,213.0,0.033459368858909856,0.0,0.0,0.0,,0,0.0
06013355112,988.0,0.031208793820693418,0.019522955060384047,39.38926574310671,479.0,0.11341358311155729,0.04290508572201031,0.0,0.0,,0,0.0,384.0,0.024487578293292317,0.0,0.0,0.0,,0,0.0,0.08105420188960716,0.01794145420207743,64436.96643817676,2011.0,1258.0,4819.0,2118.0,276.0,0.04335580190168601,0.0,0.0,0.0,,0,0.0
06013356002,1057.0,0.07468843948932206,0.01116122023074823,155.29032509702523,242.0,0.057298720486423524,0.0211586724108544,0.0,0.0,,0,0.0,122.0,0.007779907686931413,0.0039866367934682945,0.0,0.0,,0,0.0,0.19037871033776868,0.14244326412361177,26162.01400592064,1954.0,292.0,5451.0,2071.0,354.0,0.055608528526075535,0.024317453299436277,0.0,0.0,,0,0.0
