tract_id,children,density_hh,density_jobs,density_units,hh_obs_growth_13_18,hh_own,hh_prop_obs_growth_13_18,hh_prop_obs_growth_13_18_nc,hh_prop_obs_growth_18_19,hh_prop_sim_growth_13_18,hh_prop_sim_growth_18_19,hh_prop_sim_growth_year,hh_rent,hh_sim_growth_13_18,hh_sim_growth_year,income_segment_1_hh,income_segment_6_hh,jobs_0,jobs_1,jobs_2,jobs_3,jobs_4,jobs_5,jobs_obs_growth_10_17,jobs_prop_obs_growth_10_17,jobs_prop_obs_growth_10_17_nc,jobs_prop_obs_growth_17_18,jobs_prop_sim_growth_10_17,jobs_prop_sim_growth_17_18,jobs_prop_sim_growth_year,jobs_sim_growth_10_17,jobs_sim_growth_year,ln_total_hh,ln_total_jobs,ln_total_units,mean_age_of_head,mean_hh_size,mean_income,persons_65plus,prop_hh_rent,prop_jobs_0,prop_jobs_1,prop_jobs_2,prop_jobs_3,prop_jobs_4,prop_jobs_5,prop_units_mf,sum_acres,total_hh,total_jobs,total_persons,total_units,units_mf,units_mf_own,units_mf_rent,units_obs_growth_13_18,units_prop_obs_growth_13_18,units_prop_obs_growth_13_18_nc,units_prop_obs_growth_18_19,units_prop_sim_growth_13_18,units_prop_sim_growth_18_19,units_prop_sim_growth_year,units_sf,units_sf_own,units_sf_rent,units_sim_growth_13_18,units_sim_growth_year,vacant_du_spaces,vacant_job_spaces,vacant_residential_units
06095253500,1160.0,0.03212962367622207,0.02450576405254746,759.3198127085773,1205.0,2645.0,0.28530974457082786,0.79403541472507,0.45902564313548017,0.0,0.0,-2.863191130565821,1131.0,0,798.0,6.0,93.0,222.0,1241.0,141.0,539.0,290.0,945.0,309.0,0.01970484815788366,0.02288926890540111,0.02657757862312196,0.0,0.0,0.27001547168943624,0,822.0,8.42989086301344,8.15908865466791,8.487352349405215,40.87062634989201,1.708855291576674,29046.780561555075,2588.0,0.24688932547478717,0.06353749284487693,0.35518030910131654,0.04035489410417859,0.1542644533485976,0.08299942759015455,0.270463651974814,0.11253091508656224,142578.7007704739,4581.0,3494.0,7912.0,4852.0,546.0,303.0,243.0,1394.0,0.21897821685126917,0.7924788344162237,1.222504697689842,0.0,0.0,0.21690072122348777,4306.0,3208.0,1098.0,0,569.0,519445.0,41101.0,222.0
06095253300,867.0,0.023957050282736567,0.04401581812832807,678.0922515863341,183.0,839.0,0.04332919772320456,-0.06150978564771668,0.0105793362054272,0.0,0.0,-6.092354059775394,804.0,0,1698.0,0.0,42.0,236.0,1049.0,609.0,146.0,66.0,472.0,2747.0,0.17517546242623436,0.25944324217981507,0.07760652957951614,0.0,0.0,0.8744296662254005,0,2662.0,7.870547844507712,8.478660241699453,8.886823846515185,19.854918612880397,1.4957537154989384,25241.496815286624,405.0,0.30710466004583653,0.04906444906444907,0.2180873180873181,0.12661122661122662,0.030353430353430355,0.013721413721413722,0.09812889812889813,0.3715272978576365,109278.89573644752,2618.0,4810.0,4227.0,7235.0,2688.0,1060.0,1628.0,214.0,0.03361645509768408,-0.092537901161646,0.0,0.0,0.0,2.3676105088208836,4547.0,3005.0,1542.0,0,6211.0,352998.0,56188.0,4409.0
06001451101,1574.0,0.02112322248289985,0.19094097311659974,295.6514677140679,289.0,1840.0,0.06842698438254709,0.013979496738117428,0.15398811587899588,0.0,0.0,-1.9662014280076066,592.0,0,548.0,172.0,516.0,1608.0,4892.0,2113.0,695.0,807.0,15502.0,5561.0,0.3546234971067671,0.47641837800208836,0.30298439630359036,0.0,0.0,0.21253042601346137,0,647.0,7.962067308753666,10.1633486867855,8.113426639943654,36.093792633015006,2.197476125511596,95362.70907230559,569.0,0.20634367375392124,0.0620035474666461,0.1886326829644482,0.08147605460013882,0.026798796946093932,0.03111745199352202,0.5977481298681268,0.19892150988615936,135822.07934052573,2869.0,25934.0,6443.0,3338.0,664.0,378.0,286.0,516.0,0.08105649920749992,0.08663122661941326,0.614568365203935,0.0,0.0,0.3316408215543662,2674.0,2022.0,652.0,0,870.0,612699.0,636967.0,406.0
06097154304,438.0,0.009050269042917548,0.0019904215257951527,125.53223751610545,253.0,880.0,0.05990320778126095,0.14631873252562907,0.07346761253768888,0.0,0.0,-3.204047217537943,573.0,0,893.0,0.0,63.0,5.0,113.0,8.0,104.0,31.0,148.0,127.0,0.008098756362625322,0.008985456801707047,0.008504825159399028,0.0,0.0,0.02266553229509866,0,69.0,7.594884387216519,6.0822189103764455,7.6787889981991535,26.18647439085032,1.485330681253108,35832.31924415714,531.0,0.2883744338198289,0.011441647597254004,0.2585812356979405,0.018306636155606407,0.2379862700228833,0.07093821510297482,0.33867276887871856,0.11800092549745488,219551.48411360907,1987.0,437.0,2987.0,2161.0,255.0,145.0,110.0,316.0,0.049639251452655,-0.01772002362669817,0.0,0.0,0.0,0.09415549761371086,1906.0,1333.0,573.0,0,247.0,468653.0,63224.0,150.0
06095252702,1778.0,0.05127307426580517,0.043056862441448754,423.12374801684587,463.0,1409.0,0.10962523795543012,0.2385834109972041,0.10050369395155839,0.0,0.0,-1.1983782426177747,873.0,0,334.0,0.0,79.0,444.0,168.0,105.0,682.0,251.0,512.0,713.0,0.04546782115395162,0.034428487113909105,0.05873644875709953,0.0,0.0,0.027264335949176648,0,83.0,7.8716926643236445,7.697121317282625,7.916078096302786,37.005981308411215,2.3966355140186915,50525.12785046729,655.0,0.3330789774895078,0.20172648796001819,0.07632894139027714,0.04770558836892322,0.30985915492957744,0.11403907314856883,0.23262153566560653,0.20510948905109488,51118.44837726039,2621.0,2201.0,6411.0,2740.0,562.0,252.0,310.0,552.0,0.08671160380337202,0.14372908052766292,0.0,0.0,0.0,0.10711617339859414,2178.0,1537.0,641.0,0,281.0,238561.0,150812.0,65.0
06095252903,737.0,0.040966068784585474,0.020358355052513565,118.97704257787605,107.0,1341.0,0.025334558231600482,-0.08387698042870456,0.029974785915377063,0.0,0.0,-2.608446055039288,477.0,0,727.0,1.0,158.0,6.0,814.0,14.0,29.0,36.0,201.0,601.0,0.038325610818408025,0.05684483724027301,0.0007973273586936588,0.0,0.0,0.03679042923262391,0,112.0,7.741099090035366,7.042286171939743,7.69484807238461,34.460944206008584,1.8309012875536481,54159.326180257514,777.0,0.2073913043478261,0.005249343832020997,0.7121609798775154,0.012248468941382326,0.02537182852143482,0.031496062992125984,0.17585301837270342,0.1721311475409836,56144.02524426345,2300.0,1143.0,4266.0,2196.0,378.0,191.0,187.0,328.0,0.05152428631794569,-0.03150226422524119,0.0,0.0,0.0,0.19631611850632025,1818.0,1473.0,345.0,0,515.0,256339.0,151401.0,-134.0
06085513500,514.0,0.005479282795022854,0.0013088808997781865,1461.6480655538996,115.0,481.0,0.027228730809664068,0.07642124883504194,0.017632227009045334,0.0,0.0,-6.052886512862832,430.0,0,1687.0,0.0,25.0,19.0,28.0,14.0,199.0,24.0,158.0,72.0,0.004591420929992309,0.0017970913603414095,0.0005315515724624392,0.0,0.0,0.060112933478305146,0,183.0,7.634820677745543,6.20455776256869,9.25167423546916,26.881735479356195,1.3673897830650805,20818.139608117566,536.0,0.2079303675048356,0.038461538461538464,0.05668016194331984,0.02834008097165992,0.402834008097166,0.048582995951417005,0.31983805668016196,0.3552442184051435,377421.6585204331,2068.0,494.0,3908.0,10421.0,3702.0,1313.0,2389.0,170.0,0.026704660591618194,0.092537901161646,0.0,0.0,0.0,3.7833737401460747,6719.0,4541.0,2178.0,0,9925.0,18198.0,24217.0,7563.0
06097154100,663.0,0.014407361287747705,0.032612011597072325,99.9752219218054,187.0,1050.0,0.04427628401223635,0.017707362534948742,0.01645674520844231,0.0,0.0,-2.3752287323741523,584.0,0,662.0,1.0,89.0,62.0,2561.0,93.0,245.0,60.0,1590.0,1620.0,0.10330697092482696,0.08815206041253651,0.07920118429690344,0.0,0.0,0.045988036540779896,0,140.0,7.632885505395133,8.449556542700426,7.7039102096163115,33.49807507218479,1.793070259865255,46746.40279114533,672.0,0.28294573643410853,0.013270547945205479,0.5481592465753424,0.01990582191780822,0.052440068493150686,0.012842465753424657,0.3403253424657534,0.16967509025270758,143260.0986938021,2064.0,4672.0,3726.0,2216.0,376.0,187.0,189.0,307.0,0.048225475303686975,-0.005906674542232723,0.0,0.0,0.0,0.18602381714773647,1840.0,1203.0,637.0,0,488.0,371239.0,72235.0,138.0
06081613800,677.0,0.020670884981497942,0.0376527054459795,141.4028844811202,186.0,1114.0,0.044039512439978404,-0.0754892823858341,0.04584379022351786,0.0,0.0,-2.8273115424634927,724.0,0,788.0,222.0,227.0,82.0,1289.0,43.0,392.0,117.0,644.0,743.0,0.047380913208115084,0.06034443620514838,0.001328878931156098,0.0,0.0,0.8008488077601527,0,2438.0,7.778211474512492,8.377701212597637,7.908019444632471,31.765067650676507,1.6711767117671177,63467.76547765478,665.0,0.3033095936321743,0.018859245630174794,0.29645814167433304,0.009889604415823367,0.09015639374425023,0.026908923643054278,0.14811407543698252,0.18469462840323767,115476.42987402578,2387.0,4348.0,4076.0,2718.0,502.0,224.0,278.0,213.0,0.033459368858909856,-0.2539870053160071,0.0,0.0,0.0,0.2790357257216047,2216.0,1384.0,832.0,0,732.0,447761.0,99651.0,279.0
06013355112,877.0,0.03398670237062088,0.21709588103315774,120.97134379970791,479.0,1676.0,0.11341358311155729,0.06244175209692451,0.04290508572201031,0.0,0.0,-0.6422446270316817,272.0,0,179.0,318.0,515.0,817.0,1095.0,336.0,1175.0,923.0,3586.0,384.0,0.024487578293292317,0.01920050242891085,0.0,0.0,0.0,4.181954951433348,0,12731.0,7.692113339595466,9.546098067659527,7.87777633327726,45.66771441400988,2.0642119443197124,111783.20790300853,1078.0,0.12420091324200913,0.05840303095289156,0.07827578811923654,0.024018871970834226,0.08399456715991135,0.06598041318178569,0.25634427049824865,0.08987485779294653,64436.96643817676,2190.0,13989.0,4597.0,2637.0,237.0,101.0,136.0,276.0,0.04335580190168601,0.019688915140775743,0.0,0.0,0.0,0.19784090389277706,2400.0,2106.0,294.0,0,519.0,252693.0,28209.0,410.0
