blockgroup_id,density_hh,density_jobs,density_units,income_segment_1_hh,income_segment_6_hh,ln_total_hh,ln_total_jobs,ln_total_units,mean_hh_size,mean_income,ratio_households_to_units,ratio_jobs_to_units,sum_acres,total_hh,total_jobs,total_units,units_after_2000,units_before_1930,units_mf,units_own,units_rent,units_sf
060952535001,0.028080980905363397,0.01906243266013872,459.1306493022197,3.0,64.0,7.843064016692054,7.455876687491824,7.957177323459475,1.4940085040587554,27302.20487050638,0.8918067226890757,0.6053921568627451,90700.95975645314,2547.0,1729.0,2855.0,2361.0,64.0,254.0,2191.0,664.0,2601.0
060855135001,0.005479268277392099,0.0013088774318335092,1461.6480655538996,0.0,25.0,7.634820677745543,6.20455776256869,9.25167423546916,1.3673897830650805,20818.139608117566,0.19842640568029168,0.04739973133755517,377421.6585204331,2068.0,494.0,10421.0,9952.0,108.0,3702.0,5854.0,4567.0,6719.0
060952533001,0.01831776364156724,0.015050021886413285,143.88414375835484,0.0,27.0,7.085901464365611,6.889591308354466,7.502738210754851,1.6759410801963994,27059.721767594106,0.65857694429123,0.5410921125206839,65181.62946086595,1194.0,981.0,1812.0,1280.0,270.0,668.0,1034.0,778.0,1144.0
060952533002,0.03229151892505371,0.08682881036799907,534.2081078279792,0.0,15.0,7.26192709270275,8.250620082174692,8.598588829620232,1.3584788029925188,23856.29052369077,0.26253687315634217,0.7059365781710915,44097.26627558156,1424.0,3829.0,5423.0,5037.0,273.0,2020.0,3031.0,2392.0,3403.0
060952527026,0.009711606081070887,0.005681894014236495,80.21205381594258,0.0,6.0,6.180016653652572,5.645446897643238,6.343880434126331,2.117760617760618,44680.816602316605,0.8471001757469244,0.4956063268892794,49630.33759507371,482.0,282.0,568.0,261.0,3.0,80.0,364.0,204.0,488.0
060014511013,0.007395414658602482,0.008573138772852994,66.82079110373252,32.0,74.0,6.75110146893676,6.898714534329987,6.90875477931522,1.6157303370786518,54104.393258426964,0.8531468531468531,0.989010989010989,115475.95963290057,854.0,990.0,1000.0,614.0,73.0,263.0,604.0,396.0,737.0
060971543041,0.0041707801090608235,0.0013182545364627835,26.622563435953836,0.0,28.0,6.625392368007956,5.47646355193151,6.478509642208569,1.4375,35200.143229166664,1.1566820276497696,0.3655913978494624,180540.7644445323,753.0,238.0,650.0,204.0,122.0,143.0,416.0,234.0,507.0
060133551121,0.013748689754706498,0.21547946488285458,95.76991048821853,79.0,95.0,6.716594773520978,9.46738280829585,6.9726062513017535,1.579676674364896,65135.715935334876,0.7731958762886598,12.11808809746954,60004.71797887745,825.0,12930.0,1066.0,566.0,52.0,229.0,738.0,328.0,837.0
060014415031,0.08145994942732297,2.977959504289964,516.8229891908541,143.0,214.0,7.347943823148687,10.94619945923966,7.652070746116482,2.4155844155844157,90404.39703153989,0.7372921615201901,26.953444180522567,19051.30743341751,1552.0,56737.0,2104.0,1460.0,20.0,617.0,1370.0,734.0,1487.0
060552018001,0.0034790206733904586,0.01378651022900353,29.746627088873744,94.0,21.0,6.2878585601617845,7.663407664893479,6.410174881966167,1.7699443413729128,37438.96103896104,0.8832236842105263,3.5,154352.78240413556,537.0,2128.0,607.0,178.0,13.0,101.0,430.0,177.0,506.0
