blockgroup_id,density_hh,density_jobs,density_units,income_segment_1_hh,income_segment_6_hh,ln_total_hh,ln_total_jobs,ln_total_units,mean_age_of_head,mean_hh_size,mean_income,prop_jobs_0,prop_jobs_1,prop_jobs_2,prop_jobs_3,prop_jobs_4,prop_jobs_5,ratio_households_to_units,ratio_jobs_to_units,sum_acres,total_hh,total_jobs,total_units,units_mf_own,units_mf_rent,units_sf_own,units_sf_rent
060952535001,0.02777227754244617,0.01803709649044936,459.1306493022197,6.0,30.0,7.832014180505468,7.400620577371135,7.773594467360193,52.286322965487855,1.5850021303792075,30528.82403067746,0.011002444987775062,0.265281173594132,0.007946210268948655,0.1466992665036675,0.006723716381418093,0.15158924205378974,1.0597391670172487,0.6882625157761885,90700.95975645314,2519.0,1636.0,2376.0,134.0,120.0,2057.0,544.0
060855135001,0.00161622516886324,0.0011711008600615608,1461.6480655538996,0.0,26.0,6.415096959171595,6.093569770045136,6.208590026096629,41.91179385530228,1.5341922695738355,27479.937066402377,0.0,0.027149321266968326,0.01583710407239819,0.39592760180995473,0.027149321266968326,0.23755656108597284,1.227364185110664,0.8893360160965795,377421.6585204331,610.0,442.0,496.0,1313.0,2389.0,4541.0,2178.0
060952533001,0.014651142611136278,0.012227183938299071,143.88414375835484,0.0,18.0,6.862757913051401,6.682108597449808,6.411818267709897,30.300106044538705,1.9872746553552492,34878.98197242842,0.026348808030112924,0.3851944792973651,0.0075282308657465494,0.0075282308657465494,0.0,0.3224592220828105,1.568144499178982,1.3087027914614122,65181.62946086595,955.0,797.0,608.0,277.0,391.0,757.0,387.0
060952533002,0.01782382996846364,0.040387075284775746,534.2081078279792,0.0,15.0,6.668228248417403,7.485491608030754,6.0330862217988015,31.212523719165084,1.6081593927893738,33752.960151802654,0.09096013475575519,0.38180797304884895,0.3250982594048287,0.037619314991577765,0.01291409320606401,0.022459292532285232,1.8848920863309353,4.270983213429257,44097.26627558156,786.0,1781.0,416.0,783.0,1237.0,2248.0,1155.0
060952527026,0.007938532771663755,0.005218477126550539,80.21205381594258,0.0,4.0,5.978885764901122,5.560681631015528,5.820082930352362,38.082294264339154,2.57356608478803,57560.89027431422,0.0,0.14285714285714285,0.07722007722007722,0.6177606177606177,0.0,0.11196911196911197,1.1691394658753709,0.7685459940652819,49630.33759507371,394.0,259.0,336.0,35.0,45.0,329.0,159.0
060014511013,0.005862641362849977,0.00774180410397028,66.82079110373252,33.0,60.0,6.519147287940395,6.796823718274855,6.173786103901937,35.37817638266069,1.8878923766816142,71339.95515695067,0.0436241610738255,0.09507829977628636,0.0011185682326621924,0.27740492170022374,0.0044742729306487695,0.5223713646532439,1.4104166666666667,1.8625,115475.95963290057,677.0,894.0,479.0,106.0,157.0,498.0,239.0
060971543041,0.003351025187226824,0.0012074768443230538,26.622563435953836,0.0,29.0,6.406879986069314,5.389071729816501,6.224558429275359,28.65674255691769,1.6532399299474605,46894.448336252186,0.0,0.3440366972477064,0.03669724770642202,0.11009174311926606,0.0871559633027523,0.30275229357798167,1.198019801980198,0.4316831683168317,180540.7644445323,605.0,218.0,504.0,77.0,66.0,339.0,168.0
060133551121,0.0122488326905567,0.11458907970104472,95.76991048821853,89.0,95.0,6.601230118728876,8.835937789319836,6.359573868672377,40.635245901639344,1.790983606557377,79321.57650273223,0.0,0.02079697498545666,0.00014543339150668993,0.002763234438627109,0.0007271669575334497,0.005381035485747527,1.2716262975778547,11.896193771626297,60004.71797887745,735.0,6876.0,577.0,96.0,133.0,642.0,195.0
060014415031,0.08172238483140584,2.9499838902147295,516.8229891908541,149.0,204.0,7.351158226430694,10.936760999895897,7.3613754289773485,39.528164347249835,2.6083499005964215,102343.24055666004,0.02798733186250089,0.40614547007330437,0.10732332218347448,0.09424596114155576,0.03462387018717529,0.3212404811045477,0.9891994917407878,35.707750952986025,19051.30743341751,1557.0,56204.0,1573.0,358.0,259.0,1012.0,475.0
060552018001,0.003226354367501766,0.006368486633040634,29.746627088873744,93.0,21.0,6.212606095751519,6.891625897052253,6.313548046277095,40.650319829424305,1.9893390191897655,43879.744136460555,0.0,0.17090539165818922,0.0,0.00508646998982706,0.09053916581892167,0.06510681586978637,0.9021739130434783,1.7807971014492754,154352.78240413556,498.0,983.0,551.0,69.0,32.0,361.0,145.0
