35 to 60,19 and under,20 to 35,above 60
2480032,1667605,1398161,1204563
2494173,1779044,1414011,1159966
2470967,1901396,1409438,1082693
2482851,2061753,1424387,1021811
2478336,2195866,1429219,964121
2498203,2374702,1447587,913850
2484336,2513014,1448759,856170
2440705,2594301,1429720,801319
2422306,2708131,1429796,754864
2381899,2789369,1416210,706118
