year,mean_age_of_students
2011,12.803209005733294
2012,12.70501704978945
2013,13.034057778834127
2014,13.470218173165442
2015,13.931639327413036
2016,14.372249620095111
2017,14.840731769164215
2018,15.353107590208596
2019,15.899055376162707
2020,16.478676498377013
