year,mean_income
2011,31512.03979237403
2012,31635.293199294243
2013,31993.078105284603
2014,32978.35439582729
2015,33357.77638416063
2016,35106.00879915786
2017,36055.01959435765
2018,36235.26201224853
2019,36870.4533542728
