35 to 60,19 and under,20 to 35,above 60
2479981,1667581,1398175,1204504
2494594,1780522,1413622,1159585
2470371,1902167,1408787,1082403
2482893,2061789,1424091,1020681
2478370,2195475,1428803,963858
2497973,2374341,1446883,913437
2482891,2513895,1448036,856026
2438853,2594583,1429035,801682
2419643,2708344,1429259,755392
2379824,2790884,1416118,705973
