year,mean_income
2011,31499.053069030047
2012,31614.431444730493
2013,31994.978057012482
2014,32979.39707919897
2015,33346.103653915154
2016,35070.20682976678
2017,36019.97888516782
2018,36211.42545527223
2019,36844.059734678915
