year,mean_age_of_students
2011,12.800332570339158
2012,12.70177216560515
2013,13.033068341483636
2014,13.46975993108032
2015,13.936540506791257
2016,14.37811611424449
2017,14.84606819834156
2018,15.355231340148027
2019,15.89736980925232
2020,16.475658322921962
