year,pop_after_deaths,deaths,pop_after_birth
2011,6750361,42352,6802465
2012,6847194,42385,6899879
2013,6864494,41469,6915576
2014,6990802,41154,7041052
2015,7067542,41680,7117966
2016,7234342,41802,7284394
2017,7302279,41666,7351700
2018,7266045,41153,7314975
2019,7315097,41628,7363984
2020,7293596,40859,7341893
