year,MAR,count
2010,1,654487
2010,2,49262
2010,3,137674
2010,4,23763
2010,5,447163
2011,1,674101
2011,2,49898
2011,3,141751
2011,4,24806
2011,5,465031
2012,1,685052
2012,2,50962
2012,3,148543
2012,4,27119
2012,5,485723
2013,1,696359
2013,2,53286
2013,3,156089
2013,4,29001
2013,5,505191
2014,1,710403
2014,2,55486
2014,3,162587
2014,4,30371
2014,5,527564
2015,1,733038
2015,2,57804
2015,3,167486
2015,4,30443
2015,5,546367
2016,1,751250
2016,2,59173
2016,3,173409
2016,4,30298
2016,5,567144
2017,1,778577
2017,2,61813
2017,3,177789
2017,4,30122
2017,5,586591
2018,1,801255
2018,2,62764
2018,3,184296
2018,4,28371
2018,5,610270
2019,1,828025
2019,2,65709
2019,3,189120
2019,4,29007
2019,5,627914
