35 to 60,19 and under,20 to 35,above 60
571860,466267,410791,219586
558955,525647,402132,198153
563563,576602,402164,191720
566027,622381,400436,183422
571269,673085,401775,175001
583056,719125,406116,171681
591542,758363,408748,167037
650039,865570,445945,175968
636915,874684,436692,163573
625500,896777,434095,150331
