year,mean_age_of_students
2011,12.301357770886327
2012,12.252310374315307
2013,12.573421670826605
2014,13.014553082296397
2015,13.48980381975285
2016,13.975028136583754
2017,14.487417729024607
2018,15.02554232997929
2019,15.591813439082754
2020,16.201137892017677
