year,pop_after_deaths,deaths,pop_after_birth
2011,1668570,6701,1676766
2012,1699433,6853,1707779
2013,1727640,6921,1736150
2014,1754209,6914,1762689
2015,1778833,7194,1787598
2016,1801448,7481,1810550
2017,1822074,7556,1831314
2018,1841472,7643,1850806
2019,1859290,7805,1868849
2020,1875607,8013,1885449
